,X,KNN_Density,Mode
349,114.441,0.13697121577294794,116.037
350,108.688,0.13707265714386432,104.021
351,118.173,0.11514358001425226,116.037
352,139.495,0.15354605398925023,140.149
353,177.993,0.06987588435792635,179.066
354,147.221,0.08191325779183484,140.149
355,86.774,0.06019101256692057,94.192
356,144.036,0.10906571689332037,140.149
357,211.534,0.07296711430531957,207.019
358,138.779,0.13014082278151623,140.149
359,254.065,0.0009735786326617922,207.019
360,133.12,0.07518452726487973,140.149
361,220.698,0.03977693729993179,207.019
362,77.702,0.04164931278633917,79.31
363,132.231,0.07957332781624855,140.149
364,92.653,0.15378700499807801,94.192
365,99.869,0.14348025711662069,96.882
366,113.469,0.17203055056141292,116.037
367,54.972,0.0025335846341882186,79.31
368,102.491,0.15847498884336073,104.021
369,212.754,0.06425486047860254,207.019
370,207.504,0.09674711995917251,207.019
371,172.442,0.09244262155811765,171.342
372,62.737,0.006299815753698526,79.31
373,122.456,0.1478152681642424,123.592
374,98.813,0.16619000603103493,96.882
375,243.921,0.0020840756767475663,207.019
376,155.221,0.1267349861180835,152.892
377,207.197,0.10630959117689875,207.019
378,69.271,0.015806249272517375,79.31
379,208.251,0.10071709564931289,207.019
380,100.408,0.1365665742930355,96.882
381,191.32,0.09110812904081544,196.009
382,153.9,0.1331983589962163,152.892
383,129.416,0.08025102520684697,123.592
384,88.723,0.09077902107716375,94.192
385,136.206,0.09244262155811765,140.149
386,209.176,0.09995433086622653,207.019
387,220.206,0.04037055486380604,207.019
388,103.762,0.21815575055286013,104.021
389,227.238,0.015866034565965057,207.019
390,196.166,0.10849168780084735,196.009
391,124.293,0.15034788244780095,123.592
392,102.961,0.17698710949785465,104.021
393,205.246,0.09415237488538206,207.019
394,130.408,0.07432610011547278,123.592
395,195.82,0.10555110129908052,196.009
396,208.211,0.10200791356991891,207.019
397,193.105,0.09099822780951353,196.009
398,233.286,0.006590518758448538,207.019
399,137.792,0.11680228969864641,140.149
400,100.35,0.1369712157729465,96.882
401,195.805,0.10452980975888285,196.009
402,205.314,0.09543652139987466,207.019
403,185.667,0.07707483133714642,179.066
404,189.708,0.08377296688245126,196.009
405,123.789,0.15163866810298837,123.592
406,146.046,0.08029651253777867,140.149
407,233.803,0.006083537642354555,207.019
408,95.523,0.20567561869797082,96.882
409,172.395,0.09444194068366196,171.342
410,137.108,0.09735178798727709,140.149
411,183.215,0.07720337863601902,179.066
412,62.063,0.005743560642882487,79.31
413,97.728,0.21138855859426664,96.882
414,171.342,0.11545678919980376,171.342
